steps,time,reward,delta,converged
1,0.004294000000001574,0.6666666666666666,0.3333333333333333,False
2,0.004234999999994216,1.0533333333333332,0.1333333333333333,False
3,0.00423200000000179,1.2741333333333331,0.04533333333333334,False
4,0.004199999999997317,1.3853866666666663,0.019199999999999995,False
5,0.004230999999990104,1.4424669866666664,0.007850666666666666,False
6,0.004204999999998904,1.471731575466666,0.0035362133333333295,False
7,0.004231000000004315,1.4866149744639996,0.0015901013333333332,False
8,0.004198999999999842,1.4941511931767462,0.000750912853333334,False
9,0.004203000000003954,1.4979628036805972,0.0003439725226666657,False
10,0.004173999999991906,1.4998899824005387,0.00016404692991999967,False
11,0.004171999999996956,1.5008630644491503,7.79335259477338e-05,False
12,0.004185000000006767,1.5013522383188238,3.6553791897599944e-05,False
13,0.004161999999993782,1.5015969715006974,1.7831465704925848e-05,False
14,0.004158000000003881,1.501718871521867,8.359603828599418e-06,True
